standar,term_localName,label,definition,usage,notes,type,controlled value string,tdwgutility_organizedInClass,SKOS_inSchema,tdwgutility_repeatable,examples,database,vann_preferredNamespacePrefix,vann_preferredNamespaceUri
plic: terms,ProtectionLegalStatus,Protection Legal Status,Description of the legal status.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,LegislationRead,Legislation Read,The oficial document in which the user can read the legislation.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,Status,Status,"Whether a piece of legislation is in force, or superseded, etc.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,Type,Type,Category of the piece of legislation.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,Norm,Norm,"Norms are general legal principles that are widely accepted. This acceptance is evidenced in a number of ways, such as international agreements, national legislation, domestic and international judicial decisions, and scholarly writings.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,AppliesTo,Applies to,Location where the status is used.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,DispersalUnstructured,Unstructured Dispersal,Dispersal element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Dispersal,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,Purpose,Purpose,Makes reference to any data being measured.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Dispersal,,,De tipo MeasurementOrFactClass,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,Type,Type,"VCR. Zoochory, Anemochory, Hydrochory, Barochory, Autochory.",,"Type of dispersal, a controlled vocabulary is recommended.","http://www.w3.org/2004/02/skos/core#ConceptScheme
",,Dispersal,,,,plic,plic,http://rs.tdwg.org/plic/terms/
plic: terms,StructureDispersed,Structure Dispersed ,"VCR: Seed, Fruit, Vegetative structure, Spores, Gametes, Eggs, Offspring and Individuals.",,"Structured that is dispersed for a given biologial propuse, a controlled vocabulary is recommended.","http://www.w3.org/2004/02/skos/core#ConceptScheme
",,Dispersal,,,,plic,plic,http://rs.tdwg.org/plic/terms/
