term_localName,label,definition,usage,notes,type,tdwgutility_organizedInClass,examples,database,vann_preferredNamespacePrefix,vann_preferredNamespaceUri
fullDescriptionUnstructured,unstructured full description,fullDescription element in text block format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
habitatAtomized,atomized habitat,habitatAndDistribution element in structured format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
habitatAndDistribution,habitat anddistribution,Distribution of the species,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
habitatAndDistributionUnstructured,unstructured habitat anddistribution,habitatAndDistribution element in text block format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
habitats,habitats,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
habitatUnstructured,unstructured habitat,habitat element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
hierarchy,hierarchy,Hierarchical categories. Modified from Linnean Core.,,Option: fill all or principal ranks and optionally provide keys.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
interactionAtomized,atomized interaction,interaction element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
identificationKeys,identification keys,"Tool for the identification of organisms, comprising a series of steps, each of which represents a question about one or more characters of the organism. Each step offers multiple alternatives, choosing one of them will lead us to the next step until ending, finally, in the name of the organism.",,"Most printed keys have only two alternatives, so called dichotomous keys. A taxon includes a key or an identification of key in the subordinate taxons. If we are in a register of a genre, this register would include the keys of the species that this register includes, and if itÂ´s one specie, then it would include the key of the infraspecific rank (For plants: subspecies, variety forms)",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
Keys,,,,,,IdentificationKeys | TaxonomicDescription,,,,
interactions,interactions,Mutual or reciprocal actions or influences. Relations with products grown and stored by man (plagues) are also included.,,"For example, predation, parasitism, mutualism, etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
interactionUnstructured,unstructured interaction,interaction element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
InteractionSpecies,,,,,,,,,,
InteractionSpeciesType,,,,,,,,,,
