replacing_version,replaced_version_localName
http://rs.tdwg.org/plic/terms/version/Revision-2022-06-14,Revision-2022-02-23
http://rs.tdwg.org/plic/terms/version/reproductionAtomized-2022-06-14,reproductionAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/reproductionUnstructured-2022-06-14,reproductionUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/interactionUnstructured-2022-06-14,interactionUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/synonymsAtomized-2022-06-14,synonymsAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/synonymsAtomizedType-2022-06-14,synonymsAtomizedType-2022-02-23
http://rs.tdwg.org/plic/terms/version/synonymsType-2022-06-14,synonymsType-2022-02-23
http://rs.tdwg.org/plic/terms/version/synonymsUnstructured-2022-06-14,synonymsUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/SynonymName -2022-06-14,SynonymName -2022-02-23
http://rs.tdwg.org/plic/terms/version/SynonymStatus-2022-06-14,SynonymStatus-2022-02-23
http://rs.tdwg.org/plic/terms/version/targetAudiences-2022-06-14,targetAudiences-2022-02-23
http://rs.tdwg.org/plic/terms/version/Audience-2022-06-14,Audience-2022-02-23
http://rs.tdwg.org/plic/terms/version/Keys-2022-06-14,Keys-2022-02-23
http://rs.tdwg.org/plic/terms/version/keys-2022-06-14,keys-2022-02-23
http://rs.tdwg.org/plic/terms/version/fullDescriptionAtomized-2022-06-14,fullDescriptionAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/fullDescriptionUnstructured-2022-06-14,fullDescriptionUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/briefDescription-2022-06-14,briefDescription-2022-02-23
http://rs.tdwg.org/plic/terms/version/FullDescription-2022-06-14,FullDescription-2022-02-23
http://rs.tdwg.org/plic/terms/version/taxonomicDescriptionUnstructured-2022-06-14,taxonomicDescriptionUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/BaseElements-2022-06-14,BaseElements-2022-02-23
http://rs.tdwg.org/plic/terms/version/demographyAndThreat-2022-06-14,demographyAndThreat-2022-02-23
http://rs.tdwg.org/plic/terms/version/HabitatAndDistribution-2022-06-14,HabitatAndDistribution-2022-02-23
http://rs.tdwg.org/plic/terms/version/IdentificationKeys-2022-06-14,IdentificationKeys-2022-02-23
http://rs.tdwg.org/plic/terms/version/Invasiveness-2022-06-14,Invasiveness-2022-02-23
http://rs.tdwg.org/plic/terms/version/NaturalHistory-2022-06-14,NaturalHistory-2022-02-23
http://rs.tdwg.org/plic/terms/version/RecordMetadata-2022-06-14,RecordMetadata-2022-02-23
http://rs.tdwg.org/plic/terms/version/taxonomicalDescription-2022-06-14,taxonomicalDescription-2022-02-23
http://rs.tdwg.org/plic/terms/version/territoryUnstructured-2022-06-14,territoryUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/ExtentOfOccurrence-2022-06-14,ExtentOfOccurrence-2022-02-23
http://rs.tdwg.org/plic/terms/version/AreaOfOccupancy-2022-06-14,AreaOfOccupancy-2022-02-23
http://rs.tdwg.org/plic/terms/version/DirectThreats-2022-06-14,DirectThreats-2022-02-23
http://rs.tdwg.org/plic/terms/version/DirectThreatAtomized-2022-06-14,DirectThreatAtomized-2022-02-23
